shot_id,n_pass_nodes,n_pass_edges,n_passes_prev,pass_density,pass_clustering,pass_avg_path_length,pass_largest_eigenvalue,shooter_in_degree,shooter_out_degree,shooter_betweenness,shooter_eigenvector
4f33d4ba-8fee-4ba0-ac0b-2c7fb688004f,0,0,0,,,,,,,,
f3e8f6e3-a19e-4f90-8c65-e54e3a7ea197,9,17,21,0.2361111111111111,0.21365745582106854,,2.954066667611924,1.0,0.0,0.0,0.0
c7c2b7e7-cf02-4e2a-ae68-fb18c9096c97,9,23,28,0.3194444444444444,0.36616297820090593,1.6180555555555556,3.292412003095847,4.0,4.0,0.24107142857142855,0.3860288598101537
d0de91a1-0989-4463-b5c5-d5ee5842198b,9,25,35,0.3472222222222222,0.3331630951828571,1.3935185185185182,4.507665579035287,7.0,6.0,0.33928571428571425,0.5543850865842463
d1cfd667-0785-4e25-9324-5897223d021c,5,8,9,0.4,0.3333333333333333,1.7,2.065196636131897,2.0,2.0,0.5,0.4123268599011826
d8aa12c2-8e00-4951-ad6d-f1863ecb827e,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
80ed61dc-792c-4432-94c4-17e14d9b6af7,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
ffe6635e-6109-4aac-8abf-fca3390b33da,9,12,13,0.16666666666666666,0.1416630115692071,,1.8392867552141607,2.0,0.0,0.0,0.0
d709e83d-ed45-4bed-bfd8-39f6fa227cc1,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
dd57245d-2c62-438b-8414-f19fa11e2a4c,3,2,2,0.3333333333333333,0.0,,0.0,,,,
ebf244a5-cd40-4e8b-ba53-884a0883a56a,7,20,35,0.47619047619047616,0.25802789726953385,1.1686507936507937,6.621139426686387,9.0,8.0,0.22777777777777777,0.5823383916083273
8d63447c-9e8d-47a4-a40b-744d0d5d3750,9,10,10,0.1388888888888889,0.0,,1.2365057033914977,2.0,1.0,0.10714285714285714,0.0
0b7cd6e5-2ab6-46d0-b7d3-4e5b4a43513b,5,4,4,0.2,0.0,,0.0,1.0,0.0,0.0,0.0
b1f1a7c4-1fe5-4e3b-b707-5225ba587c8a,9,20,29,0.2777777777777778,0.12051491215569173,1.5370370370370365,4.215484408295348,5.0,5.0,0.3452380952380952,0.4663598435958092
902e7a01-074f-4009-b108-0334b666f618,9,17,17,0.2361111111111111,0.36296296296296293,,2.4193702050900634,5.0,4.0,0.49107142857142855,0.0
bd1c22a0-5af0-418f-b21c-5b5ff6918fa2,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
5b4d4b05-f9c1-46a2-bc2d-f8ca2fe92e0e,10,24,30,0.26666666666666666,0.21453043849614534,1.9388888888888882,4.376150821106554,2.0,2.0,0.1111111111111111,0.1199562814412312
019e5bc7-ba5c-4df0-82e1-cc75e4afc92f,10,24,30,0.26666666666666666,0.21453043849614534,1.9388888888888882,4.376150821106554,1.0,1.0,0.0,0.11375438639878434
a215d725-29c9-41c8-917d-cd0cd25dd1e8,8,17,18,0.30357142857142855,0.10416666666666666,2.142857142857143,2.6236129616551565,2.0,2.0,0.047619047619047616,0.3410078589414861
